county,speed_source,pollutantID_2,pollutantID_3,pollutantID_87,pollutantID_100,pollutantID_110
Kent,INRIX_XD_FRC_1_4,-6.36%,-5.17%,-13.77%,-6.37%,-6.39%
Keweenaw,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Keweenaw,NPMRDS_count,-5.70%,-6.29%,-12.16%,-7.25%,-7.27%
Keweenaw,NPMRDS_vht,-5.60%,-6.02%,-11.83%,-6.90%,-6.92%
Keweenaw,INRIX_XD,-4.06%,10.40%,12.13%,12.97%,13.11%
Keweenaw,INRIX_XD_FRC_1_4,-5.93%,7.25%,8.68%,9.98%,10.11%
Lake,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Lake,NPMRDS_count,-11.10%,-7.91%,-11.91%,-7.29%,-7.29%
Lake,NPMRDS_vht,-11.11%,-7.83%,-12.04%,-7.24%,-7.23%
Lake,INRIX_XD,-11.36%,-7.12%,-8.35%,-5.79%,-5.78%
Lake,INRIX_XD_FRC_1_4,-11.59%,-7.55%,-8.99%,-6.30%,-6.29%
Lapeer,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Lapeer,NPMRDS_count,-7.54%,-5.87%,-11.98%,-5.77%,-5.78%
Lapeer,NPMRDS_vht,-7.10%,-5.09%,-10.82%,-4.87%,-4.87%
Lapeer,INRIX_XD,-5.69%,1.88%,-1.42%,2.71%,2.76%
Lapeer,INRIX_XD_FRC_1_4,-6.59%,0.14%,-3.39%,0.93%,0.97%
Leelanau,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Leelanau,NPMRDS_count,-2.82%,-5.68%,-13.38%,-6.18%,-6.22%
Leelanau,NPMRDS_vht,-0.34%,-4.25%,-11.74%,-4.66%,-4.70%
Leelanau,INRIX_XD,-13.19%,-2.30%,-5.77%,-0.17%,-0.09%
Leelanau,INRIX_XD_FRC_1_4,-14.10%,-3.73%,-7.26%,-1.47%,-1.40%
Lenawee,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Lenawee,NPMRDS_count,-14.43%,-7.62%,-11.22%,-6.17%,-6.14%
Lenawee,NPMRDS_vht,-14.16%,-6.91%,-10.58%,-5.49%,-5.45%
Lenawee,INRIX_XD,-7.28%,1.13%,0.35%,2.96%,3.03%
Lenawee,INRIX_XD_FRC_1_4,-9.35%,-1.32%,-2.91%,0.38%,0.45%
Livingston,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Livingston,NPMRDS_count,7.15%,-6.04%,-18.00%,-7.71%,-7.83%
Livingston,NPMRDS_vht,7.93%,-6.47%,-19.69%,-8.52%,-8.65%
Livingston,INRIX_XD,-1.99%,-0.14%,-8.34%,-1.44%,-1.44%
Livingston,INRIX_XD_FRC_1_4,-2.78%,-1.26%,-9.93%,-2.61%,-2.62%
Luce,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Luce,NPMRDS_count,-4.38%,-6.72%,-13.27%,-8.07%,-8.10%
Luce,NPMRDS_vht,-4.61%,-6.77%,-13.19%,-8.06%,-8.10%
Luce,INRIX_XD,-9.59%,-6.68%,-9.03%,-6.31%,-6.31%
Luce,INRIX_XD_FRC_1_4,-10.31%,-8.14%,-10.77%,-7.90%,-7.91%
Mackinac,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Mackinac,NPMRDS_count,-3.10%,2.46%,-6.40%,1.16%,1.20%
Mackinac,NPMRDS_vht,-3.25%,5.69%,-4.76%,4.29%,4.37%
Mackinac,INRIX_XD,-7.17%,-0.94%,-4.26%,-0.89%,-0.86%
Mackinac,INRIX_XD_FRC_1_4,-7.77%,-2.08%,-5.87%,-2.11%,-2.08%
Macomb,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Macomb,NPMRDS_count,-7.52%,-7.36%,-14.28%,-7.70%,-7.73%
Macomb,NPMRDS_vht,-8.35%,-8.36%,-16.31%,-8.98%,-9.01%
Macomb,INRIX_XD,4.86%,10.95%,8.42%,10.03%,10.09%
Macomb,INRIX_XD_FRC_1_4,-5.54%,-0.96%,-5.92%,-1.10%,-1.07%
Manistee,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Manistee,NPMRDS_count,-14.20%,-7.27%,-13.30%,-6.72%,-6.69%
Manistee,NPMRDS_vht,-13.33%,-6.72%,-11.65%,-5.91%,-5.87%
Manistee,INRIX_XD,-11.17%,-4.30%,-7.07%,-3.08%,-3.04%
Manistee,INRIX_XD_FRC_1_4,-11.58%,-5.48%,-8.36%,-4.34%,-4.31%
Marquette,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Marquette,NPMRDS_count,-14.86%,-13.92%,-18.97%,-14.07%,-14.10%
Marquette,NPMRDS_vht,-14.90%,-13.68%,-18.43%,-13.68%,-13.71%
Marquette,INRIX_XD,-9.72%,-4.91%,-7.90%,-4.35%,-4.33%
Marquette,INRIX_XD_FRC_1_4,-10.51%,-5.84%,-9.18%,-5.32%,-5.30%
Mason,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Mason,NPMRDS_count,0.15%,-5.05%,-14.62%,-5.90%,-5.94%
Mason,NPMRDS_vht,1.61%,-4.06%,-13.20%,-4.90%,-4.94%
Mason,INRIX_XD,-6.00%,-1.42%,-5.32%,-1.17%,-1.14%
Mason,INRIX_XD_FRC_1_4,-6.32%,-1.83%,-5.86%,-1.55%,-1.53%
Mecosta,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Mecosta,NPMRDS_count,15.83%,-1.65%,-13.32%,-3.77%,-3.87%
Mecosta,NPMRDS_vht,15.98%,-1.90%,-13.52%,-4.03%,-4.14%
Mecosta,INRIX_XD,-4.09%,-0.23%,-7.31%,-0.88%,-0.87%
Mecosta,INRIX_XD_FRC_1_4,-4.21%,-0.71%,-8.13%,-1.43%,-1.42%
Menominee,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Menominee,NPMRDS_count,-12.55%,-9.22%,-14.31%,-9.39%,-9.40%
Menominee,NPMRDS_vht,-11.26%,-7.94%,-11.91%,-7.85%,-7.84%
Menominee,INRIX_XD,-10.94%,-7.50%,-8.96%,-6.59%,-6.59%
Menominee,INRIX_XD_FRC_1_4,-14.80%,-11.37%,-15.10%,-10.78%,-10.79%
Midland,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Midland,NPMRDS_count,12.47%,-7.21%,-22.55%,-10.02%,-10.18%
Midland,NPMRDS_vht,12.69%,-7.28%,-22.57%,-10.08%,-10.25%
